STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151002,0,0,72,38
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151003,0.01,0,70,46
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151004,0,0,69,36
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151005,0,0,71,35
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151006,0,0,72,37
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151007,0.11,0,64,52
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151008,0,0,63,53
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151009,0,0,72,45
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151010,0.04,0,73,47
GHCND:USC00457941,SPOKANE WEATHER FORECAST OFFICE WA US,20151011,0,0,62,42
